text,sentiment
"@gundee07 хүрэхээсээ айх, эмээх сэигэлтэй бх хэрэгтэйм шиг санагддаг.Хэн ч дуртай аян дээрээ үг бичмээр санагдах нь тодорхой л доо.=)",positive
"почему, когда хочется любить искренне?.. НЕ ПОЛУЧАЕТСЯ :(",negative
"Джигги, теперь ты вообще не Джигги!! Ты больше недостоин носить это имя!!((",negative
"@Diadin1 она и курьера из рая советовала) но что-то я рейтинги, отзывы почитала..не в восторге)",positive
"У всех любовь, у всех дела, у меня одной какая то херня(",negative
"RT @Kamchatka63: Если в вашей жизни она наступит,то пусть она будет именно такой!))) http://t.co/A9UV9E2vVA",positive
"ВЧ-8 -такое ВЧ-8=)))
давайте свалим всю работу вагонной группы на тех,кто не имеет к этому никакого отношения,у них же нет других дел!",positive
"Инженерка мне настроение поднимает :D или смеется надо мной, сучка http://t.co/EOezkRzmio",positive
"То чувство, когда даже в Египте есть снег а у нас нет :(",negative
"@alex_kudrich глянь,а то я смотрела-не нашла:(",negative
"@Bulych11 бля, да хз ваще. вроде девушек много, но счастья нет:(",negative
включила телевизор посмотреть олимпеаду ...увидела двух знакомых девок и рому :),positive
"Черт, последние твиты местами поменялись ;((",negative
"http://t.co/de3Ax5wSpd сморите, что я сегодня нащелкала. Кач-во, конечно, супер контактовое(",negative
"@unroof если че я обои выбираю с женой,мне пока некогда с ними общаться)))",positive
RT @Rabingud: А сейчас 70% моих твиттов - нытье. И даже этот твит пропитан нытьем :D,positive
"@typicalneuron 
а я думал, что #янепошлый 
но не судьба :D",positive
"Вчера вечером не пошёл в Капитолий, а позавчера на ""12 лет рабства"" под предлогом ""займусь дома химией"". Два абсолютно бесполезных вечера :(",negative
приятно...когда тебя добавляют знаменитые YouTube блоггеры),positive
RT @paninaaaaa: Окау( http://t.co/LqOYDh875m,negative
"@dora200013 Может, в инете уже появилось... ;) Да по идее должно было уже....",positive
"@DashenkaLovely я конкретные фишки не описываю, это целая наука))) просто названия, и не одно и тоже))) а ты лохушка)",positive
"В общем, надеюсь,котейка будет жить и расти и через месяц,если все будет хорошо, я еще раз спрошу желающих)",positive
"Хочу вернуть время тогда, когда со многими в тви общалась, жаль невозможно :(",negative
"RT @Mr_Jack_O_O: @RzK_kokain чувак, утра о//////",negative
@ssmurz а как же ребята с ютюба будут скачивать в это время?((= ты о них подумал?,negative
RT @grishipok: Ойойой зачем я обновила твиттер?Какое все неудобное сразу стало:(,negative
"RT @supreme_fm: Снег выпади, ну плиз :(
Какой блять новый год без снега, а",negative
Я это сделала....я стала на весы!!!!аааа блин!!! Я скинула 6кг(( я очень надеюсь что до НГ я еще 2 скину точно...,negative
"RT @ValeriPayne1: #RT кто хочет узнать твиты от Ванги!! 
1. Возраст
2. Фандом 
3. Цвет трусов :D",positive
@Alex7236 Меня что то разнесло)) @olegsadovskiy @santairis @sibirianka @gals5581 @sinichka12 @tat881 @krykbryk @KompassUkraine @lechiy13,positive
RT @bowavulipod: йоу. я не отражаюсь в зеркалах   :),positive
"Жили бедно, так ещё и обокрали. Беларусь( http://t.co/NhTZyFAAeZ",negative
Смотрите как мы разговариваем))) http://t.co/HOynZCsn0X,positive
"завтра пятница 13-го,ну что,ждём чего-то ахуенного:)
ахах,типо страшно должно быть,но мыслим позитивно)",positive
"лента, я поменял оформление о/
жаль, что никто не заметит :(",negative
"Когда же уже наконец пройдет эта ветрянка:((наверное самая ужасная болезнь...Так скучно, сидишь дома, ничего не делаешь...",negative
"RT @SunnyTommo: дорогая мама Перри
давай ты типа папарацци не видишь ок?
обидно, девочки и Триша стараются
а ты палишь :( http://t.co/kqxfC…",negative
"@kiskazajka к сожалению, их топка не рассчитана на сожжение чел.тела. Температура не та)сгорает далеко не все, остальное-жженые листья и тд.",positive
RT @ronolifudoqy: ололо! в вмварь ставится Снежный Барс ;),positive
мне вечером. -нет ты.-нет ты. -нет ты лучше) -Естественно я лучше. а позвони то  http://t.co/4XP4PFUzWt,positive
@batalova_louisa ну ты можешь успеть на финальную басту :D,positive
"Красивых тел слишком много, красивых душ очень мало:(",negative
"Атлетико не подведёт, а на самих надежды мало :(  #АустрияЗенит",negative
"лучшее, что ты сотворил, Сделано из ребра.))). http://t.co/YHxxy3q80z",positive
"Хотя среди моих подруг есть действительно интересующиеся футболом, чуть ли не с пелёнок. Вот это тру! 
p.s. Бля, я спать должен был уже :(",negative
@kristinchik5 НИХРЕНА:D У МЕНЯ ПЯЯТЬ ВЕЧЕРА) Я ДУМАЮ СВОЙ АЛФАВИТ:D А ТЫ?,positive
RT @diffidentginger: @the_neighbour не сделала. фу(( сидит кричит рядом,negative
ни харашо плагиатить леди гогу ((((999(((дивять http://t.co/1hx5Vp2kdZ,negative
@abbemesser @skapovton ну да. в принципе для двухдневного и крайне вялого пиара это точно успех),positive
RT @VasilyevaDi: стоим дежурим:)вспомнили наших мальчиков,positive
@egor1963 @ProstoMilochka @bulgari1971 @VSrach Мы тоже смеялись..)),positive
RT @nuzepyfir: Автору записи переговоров с экипажем разбившегося Су-27 грозит тюрьма (,negative
"http://t.co/bYFDz9sLR7 - Первый раз в жизни сделала эпиляцию! Оказалось, у меня такие кривые ноги... :) ",positive
Жители дома развлекаются )) @ SweetHome http://t.co/KQ2RtXPs6t,positive
"@annaprotopopova слушаюсь, моя госпожа :)
Да шучу я, шучу :с",positive
@kkkAmina @motoro11er @evgeny_kobzev @svminko ну Антоху же он знает),positive
"Слишком сильно сегодня губы кусала,  болят теперь (",negative
"@JulyaMiles а. Понятно. А я-то тут причем?)
Мы с ней не так хорошо общаемся",positive
"Ухахахаха)))) мне тоже “@sult: Показалось, что она топлесс, обрадовался http://t.co/GpRzOtYhnh”",positive
"Пора заканчивать жить подобно сурку, а хотя по живу еще чуток:-)",positive
"@porn_drugs_rock я ж любя, ты меня кстати не набрала;(",negative
"Ахах какие то придурки смотрели долго на меня и улыбались,я не могла понять почему,и взрыв ,сказать что я обосралась нечего сказать,петарда)",positive
"RT @vozhzhova_v: Настроения нет, я очень устала, хочу спать,но мне нужно прочитать книгу, срочно.
Сил мне ,да побольше;(",negative
RT @30daysfebruary: @shitpisspuke может просто подлизываешься..),positive
@NastyaAverina кто тут про тебя забыл то? не пизди),positive
"RT @xuterisasuk: Денис Ритчи скончался 9 октября, а я узнал только сейчас. Черт. Великого человека потеряли. (",negative
"RT @pergonaval: #RT @conttormafo : #RT @bouvtprogecel : Камызяки ушли на тайм-даун =( #квн Через год вернутся, ребят =-(",negative
"Настя меня с чем то спалила,но не говорит с чем =(((((",negative
"Я так усталаа! Но очень классно сегодня потанцевали) 
хочу следующую субботу;)",positive
@linaisonfire ну только там не фигуры) на инженерной графике нас такими чертежами учили карандаш в руке держать :D,positive
"Красная Звезда,все кто писал мне, завтра в 12 встречаемся в центре зала метро Краснопресненская!Отпишитесь в лс)",positive
"Жена мужу: «Милый, давай поменяемся местами - ты будешь готовить мне кушать, а я буду тебя хотеть!» :) http://t.co/1DIj3dU91g",positive
"Так, сборка uni2h под fpc 2.4.0 зафикшена. А вот со сборкой фрилодыря по прежнему наблюдается какой-то подземный стук :((",negative
Кукловодом быть хорошо но есть опасность самому повиснуть в своих нитях =(,negative
"Не люблю воскресенья...((( не работаю уже почти 4года, а привычка не любить понедельник и вечер воскресенья до сир пор осталась",negative
"Сначала не слушаю его,а потом удивляюсь,почему он злится на меня :(",negative
у меня кончились мандаринки( спасибо моей большой и дружной семье :З,negative
"@Poll_in @saver_ag донбасс столько дотаций получает, что даже в твит не влез ((",negative
@Matthuw89 круто! А я уже наверное нет:((,negative
"Они не любят фотографироваться, но я же не отстану :D http://t.co/geStXwbnck",positive
"Истоория
хочу спатеньки( http://t.co/ELvg3B3Ebe",negative
"@to_over_kill В принципе хорошо. Правда в четверг в школу переть. и нужно сделать дохуя д/з
А ты там как?",negative
"@AlmiralHott ещё как заманчиво! ))) Посмотрю, может и поеду....",positive
@yoooo_patrick еще нет:( я просто не знаааааю что подарить(,negative
"@Ezhoff такое подозрение, что некачественный ремонт только ухудшает состояние дорог... (",negative
"Недавно выла от одиночества, а теперь ГОСПОДИ ИЗБАВЬ МЕНЯ ОТ ВСЕХ ЭТИХ ПРИДУРКОВ!((((",negative
"@VampirDiariesNL я нормально) со школой правда завал,заваливают ппц. А что ты знаешь из старого?)",positive
"RT @alisa_1727: сегодня хороший день ,а главное вся семья в сборе :* люблю вас до безумия",positive
RT @Malvina_say: за месяц стали как семья:* http://t.co/Kb8F8JGCQa,positive
"Почему нельзя вернуть то ,что было???..Т__т..теперь всё это останется лишь на фото....которые никто не увидит....(",negative
"@KristinaBli1 @LopyrevaVika правда с появлением такой куклы в образе Вики, другие куклы никому не нужны станут!) не жалко?)))",positive
@dyadka_valerka Доброе утро! Об этом можно прочитать у нас на сайте http://t.co/glyipvLLIo .А какой сегодня праздник?:) Понедельник?,positive
такое ощущени что ты не хочешь общаться:(,negative
